EPr: 0.648936170212766, AP: 0.7281951340450706, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: DGCN-RS-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 10 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7354497354497355, AP: 0.770232231215423, Nodes: 449, Edges: 1884 , Test Edges: 189 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 2 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7354497354497355, AP: 0.7549984114376397, Nodes: 449, Edges: 1884 , Test Edges: 189 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 1 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7354497354497355, AP: 0.7592684709234309, Nodes: 449, Edges: 1884 , Test Edges: 189 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 3 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.708994708994709, AP: 0.7541570917821662, Nodes: 449, Edges: 1884 , Test Edges: 189 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 4 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.723404255319149, AP: 0.7608458252703736, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 5 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7127659574468085, AP: 0.7164229622035343, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 6 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.723404255319149, AP: 0.7517972675680602, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 7 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7021276595744681, AP: 0.7738285772369444, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 8 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7127659574468085, AP: 0.7655491235099441, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 9 , rand_ID: 2019 , NumGCNs: 2
EPr: 0.7446808510638298, AP: 0.7917513609442133, Nodes: 449, Edges: 1884 , Test Edges: 188 , kTrain: 1 , kTest: 1 , Type: GCN-IP-E , ExpressionData: /home/malabika/GRN/hsc_combined1k.csv , Network: /home/malabika/GRN/STRINGc700.csv , CV_ID: 10 , rand_ID: 2019 , NumGCNs: 2
